Stock,totalDifference,Start,End
AAIC,-1.4499998092651367,5.539999961853027,4.090000152587891
AAL,-7.555000305175781,29.09000015258789,21.53499984741211
AAOI,-4.965000152587891,12.5,7.534999847412109
AAT,-10.009998321533203,44.97999954223633,34.970001220703125
ABCL,-31.8700008392334,58.900001525878906,27.030000686645508
ABEO,-1.5800000429153442,3.2100000381469727,1.6299999952316284
ABEV,-1.940000057220459,4.730000019073486,2.7899999618530273
ABIO,-2.2385997772216797,5.679999828338623,3.4414000511169434
AC,-3.653533935546875,39.29353332519531,35.63999938964844
ACAC,-0.19999980926513672,10.25,10.050000190734863
ACACW,-0.23000013828277588,2.1600000858306885,1.9299999475479126
ACAD,-20.540000915527344,41.11000061035156,20.56999969482422
ACB,-15.335000038146973,24.239999771118164,8.904999732971191
ACC,-1.1899986267089844,46.09000015258789,44.900001525878906
ACCO,-0.5099992752075195,9.109999656677246,8.600000381469727
ACER,-0.815000057220459,3.7899999618530273,2.9749999046325684
ACGL,-3.437000274658203,43.400001525878906,39.9630012512207
ACGLO,-0.09000015258789062,26.219999313354492,26.1299991607666
ACGLP,-0.3400001525878906,25.739999771118164,25.399999618530273
ACIC,-0.039999961853027344,9.970000267028809,9.930000305175781
ACIU,-1.799999713897705,8.65999984741211,6.860000133514404
ACIW,-0.25,38.20000076293945,37.95000076293945
ACKIT,-0.25,10.199999809265137,9.949999809265137
ACNB,-9.44999885559082,37.0099983215332,27.559999465942383
ACOR,-6.78000020980835,11.760000228881836,4.980000019073486
ACRE,-0.8199996948242188,15.65999984741211,14.84000015258789
ACRX,-0.809999942779541,2.069999933242798,1.2599999904632568
ACST,-1.8825001120567322,2.380000114440918,0.4975000023841858
ADCT,-5.3899993896484375,30.0,24.610000610351562
ADERU,-0.4368000030517578,10.550000190734863,10.113200187683105
ADES,-5.720000267028809,10.430000305175781,4.710000038146973
ADFI,-0.29599952697753906,9.980999946594238,9.6850004196167
ADIL,-0.23070001602172852,2.440000057220459,2.2093000411987305
ADMA,-1.9549999237060547,3.934999942779541,1.9800000190734863
ADTX,-2.359999895095825,5.059999942779541,2.700000047683716
ADVM,-7.769999742507935,11.739999771118164,3.9700000286102295
ADXN,-1.235300064086914,11.300000190734863,10.06470012664795
ADXS,-0.5915000438690186,1.090000033378601,0.4984999895095825
AE,-12.389999389648438,38.939998626708984,26.549999237060547
AEACU,-0.40000057220458984,10.380000114440918,9.979999542236328
AENZ,-0.9299999475479126,2.509999990463257,1.5800000429153442
AEP,-5.019996643066406,93.45999908447266,88.44000244140625
AEPPL,-3.5600013732910156,53.720001220703125,50.15999984741211
AER,-3.289997100830078,61.66999816894531,58.380001068115234
AERI,-6.529998779296875,23.799999237060547,17.270000457763672
AEY,-0.38000011444091797,2.4000000953674316,2.0199999809265137
AFIB,-12.489999771118164,26.5,14.010000228881836
AFIN,-2.770000457763672,12.760000228881836,9.989999771118164
AFRM,-25.925994873046875,97.23999786376953,71.31400299072266
AFYA,-4.700000762939453,27.579999923706055,22.8799991607666
AGBAU,-0.3100004196166992,10.300000190734863,9.989999771118164
AGCB,-2.4750003814697266,13.25,10.774999618530273
AGE,-0.5750000476837158,1.9500000476837158,1.375
AGEN,-0.9300000667572021,4.039999961853027,3.109999895095825
AGFS,-0.5850000381469727,2.75,2.1649999618530273
AGFY,-2.033299446105957,12.739999771118164,10.706700325012207
AGMH,-3.9499998092651367,16.139999389648438,12.1899995803833
AGNCM,-0.4799995422363281,25.889999389648438,25.40999984741211
AGNCN,-0.4099998474121094,26.100000381469727,25.690000534057617
AGNCO,-0.7299995422363281,25.799999237060547,25.06999969482422
AGNCP,-0.7700004577636719,24.979999542236328,24.209999084472656
AGR,-0.14570236206054688,50.810001373291016,50.66429901123047
AGRX,-1.090000033378601,2.9700000286102295,1.8799999952316284
AGS,-3.34999942779541,12.119999885559082,8.770000457763672
AHC,-0.7799999713897705,2.8299999237060547,2.049999952316284
AHH,-4.289999008178711,17.959999084472656,13.670000076293945
AHT,-24.17829918861389,26.799999237060547,2.6217000484466553
AI,-25.540000915527344,92.48999786376953,66.94999694824219
AIG,-3.029998779296875,51.7599983215332,48.72999954223633
AIH,-0.019999980926513672,6.489999771118164,6.46999979019165
AIKI,-0.3846999406814575,1.399999976158142,1.0153000354766846
AINC,-15.087799072265625,23.799999237060547,8.712200164794922
AINV,-3.1149988174438477,17.6299991607666,14.515000343322754
AIR,-5.630001068115234,45.75,40.119998931884766
AIRI,-1.029999852180481,2.3499999046325684,1.3200000524520874
AIZN,-0.7479991912841797,26.937999725341797,26.190000534057617
AIZP,-2.2300033569335938,129.75,127.5199966430664
AJAX,-1.3099002838134766,11.300000190734863,9.990099906921387
AJRD,-0.09999847412109375,46.869998931884766,46.77000045776367
AJX,-2.4600000381469727,14.710000038146973,12.25
AJXA,-1.210000991821289,26.6200008392334,25.40999984741211
AKBA,-3.1450002193450928,6.340000152587891,3.194999933242798
AKER,-1.782599925994873,6.722599983215332,4.940000057220459
AKICU,-0.3899993896484375,10.399999618530273,10.010000228881836
AKR,-4.159999847412109,25.309999465942383,21.149999618530273
AKUS,-7.960000038146973,22.0,14.039999961853027
AL,-0.3600006103515625,47.31999969482422,46.959999084472656
ALCO,-5.969997406005859,36.0099983215332,30.040000915527344
ALE,-10.430000305175781,80.5199966430664,70.08999633789062
ALEX,-2.239999771118164,20.56999969482422,18.329999923706055
ALNA,-1.6800000667572021,2.890000104904175,1.2100000381469727
ALSN,-7.2649993896484375,48.88999938964844,41.625
ALTU,-0.21000003814697266,10.180000305175781,9.970000267028809
ALTUW,-0.4700000286102295,1.7000000476837158,1.2300000190734863
