Stock,totalDifference,Start,End
AAIC,-1.2199997901916504,5.539999961853027,4.320000171661377
AAL,-6.895999908447266,29.09000015258789,22.194000244140625
AAN,-2.3106002807617188,26.5,24.18939971923828
AAOI,-3.630000114440918,12.5,8.869999885559082
AAT,-9.939998626708984,44.97999954223633,35.040000915527344
ABCL,-23.920001983642578,58.900001525878906,34.97999954223633
ABEO,-0.9750001430511475,3.2100000381469727,2.234999895095825
ABEV,-1.9700000286102295,4.730000019073486,2.759999990463257
ABIO,-1.3999996185302734,5.679999828338623,4.28000020980835
AC,-2.4735336303710938,39.29353332519531,36.81999969482422
ACAC,-0.12240028381347656,10.25,10.127599716186523
ACACW,-0.24000012874603271,2.1600000858306885,1.9199999570846558
ACAD,-14.600000381469727,41.11000061035156,26.510000228881836
ACB,-13.929999351501465,24.239999771118164,10.3100004196167
ACC,-4.009998321533203,46.09000015258789,42.08000183105469
ACCO,-0.3099994659423828,9.109999656677246,8.800000190734863
ACEL,-0.4399995803833008,12.5,12.0600004196167
ACER,-0.5499999523162842,3.7899999618530273,3.240000009536743
ACGL,-6.3000030517578125,43.400001525878906,37.099998474121094
ACGLP,-0.12820053100585938,25.739999771118164,25.611799240112305
ACIU,-0.6636996269226074,8.65999984741211,7.996300220489502
ACKIT,-0.25,10.199999809265137,9.949999809265137
ACNB,-4.30999755859375,37.0099983215332,32.70000076293945
ACOR,-6.210000038146973,11.760000228881836,5.550000190734863
ACP,-0.15000057220458984,11.5600004196167,11.40999984741211
ACRE,-1.0999994277954102,15.65999984741211,14.5600004196167
ACST,-1.7022001147270203,2.380000114440918,0.6777999997138977
ADC,-1.6550064086914062,67.66000366210938,66.00499725341797
ADCT,-4.450000762939453,30.0,25.549999237060547
ADERU,-0.28999996185302734,10.550000190734863,10.260000228881836
ADES,-4.607900142669678,10.430000305175781,5.8221001625061035
ADFI,-0.31099987030029297,9.980999946594238,9.670000076293945
ADIL,-0.059999942779541016,2.440000057220459,2.380000114440918
ADMA,-1.7649998664855957,3.934999942779541,2.1700000762939453
ADS,-2.3400039672851562,112.4800033569336,110.13999938964844
ADTX,-2.0456998348236084,5.059999942779541,3.0143001079559326
ADV,-0.6499996185302734,10.399999618530273,9.75
ADVM,-0.5500001907348633,11.739999771118164,11.1899995803833
ADXN,-0.44700050354003906,11.300000190734863,10.852999687194824
ADXS,-0.27170002460479736,1.090000033378601,0.8183000087738037
AE,-7.659997940063477,38.939998626708984,31.280000686645508
AEACU,-0.3299999237060547,10.380000114440918,10.050000190734863
AEFC,-0.24499893188476562,26.15999984741211,25.915000915527344
AEM,-2.210002899169922,60.810001373291016,58.599998474121094
AENZ,-0.21000003814697266,2.509999990463257,2.299999952316284
AEP,-12.199996948242188,93.45999908447266,81.26000213623047
AEPPL,-6.470001220703125,53.720001220703125,47.25
AEPPZ,-3.0500030517578125,50.9900016784668,47.939998626708984
AER,-3.4499969482421875,61.66999816894531,58.220001220703125
AERI,-3.6599998474121094,23.799999237060547,20.139999389648438
AESE,-0.02500009536743164,2.690000057220459,2.6649999618530273
AFBI,-0.22499942779541016,11.6899995803833,11.46500015258789
AFC,-1.3997993469238281,26.709999084472656,25.310199737548828
AFGC,-0.21000099182128906,26.520000457763672,26.309999465942383
AFGE,-0.6149997711181641,26.739999771118164,26.125
AFIB,-9.899999618530273,26.5,16.600000381469727
AFIN,-2.4850006103515625,12.760000228881836,10.274999618530273
AFL,-2.289997100830078,53.349998474121094,51.060001373291016
AFRM,-15.040000915527344,97.23999786376953,82.19999694824219
AFT,-0.2999992370605469,15.149999618530273,14.850000381469727
AFYA,-6.420000076293945,27.579999923706055,21.15999984741211
AGCB,-1.1549997329711914,13.25,12.095000267028809
AGEN,-0.6700000762939453,4.039999961853027,3.369999885559082
AGFS,-0.440000057220459,2.75,2.309999942779541
AGMH,-0.03999900817871094,16.139999389648438,16.100000381469727
AGNC,-1.4300003051757812,17.780000686645508,16.350000381469727
AGNCM,-0.7804985046386719,25.889999389648438,25.109500885009766
AGNCN,-0.39999961853027344,26.100000381469727,25.700000762939453
AGNCO,-0.8999996185302734,25.799999237060547,24.899999618530273
AGNCP,-1.1099987030029297,24.979999542236328,23.8700008392334
AGO,-5.010002136230469,49.08000183105469,44.06999969482422
AGR,-3.325000762939453,50.810001373291016,47.48500061035156
AGRX,-0.7149999141693115,2.9700000286102295,2.255000114440918
AGS,-4.75,12.119999885559082,7.369999885559082
AHC,-0.42999982833862305,2.8299999237060547,2.4000000953674316
AHH,-4.10999870300293,17.959999084472656,13.850000381469727
AHT,-23.63999915122986,26.799999237060547,3.1600000858306885
AI,-5.549995422363281,92.48999786376953,86.94000244140625
AIF,-0.3000001907348633,15.25,14.949999809265137
AIG,-3.6999969482421875,51.7599983215332,48.060001373291016
AIKI,-0.2035999298095703,1.399999976158142,1.1964000463485718
AINC,-15.655499458312988,23.799999237060547,8.144499778747559
AINV,-3.3949995040893555,17.6299991607666,14.234999656677246
AIR,-1.0449981689453125,45.75,44.70500183105469
AIRI,-0.880099892616272,2.3499999046325684,1.4699000120162964
AIV,-1.6630425453186035,6.743042469024658,5.079999923706055
AIZN,-1.7379989624023438,26.937999725341797,25.200000762939453
AJAX,-0.6999998092651367,11.300000190734863,10.600000381469727
AJX,-2.3500003814697266,14.710000038146973,12.359999656677246
AJXA,-1.0500011444091797,26.6200008392334,25.56999969482422
AKBA,-2.6600000858306885,6.340000152587891,3.680000066757202
AKER,-0.12100005149841309,3.3610000610351562,3.240000009536743
AKICU,-0.17999935150146484,10.399999618530273,10.220000267028809
