Stock,totalDifference,Start,End
AA,-2.6000003814697266,21.420000076293945,18.81999969482422
AACG,-0.009999990463256836,1.350000023841858,1.340000033378601
AAIC,-1.8799998760223389,5.539999961853027,3.6600000858306885
AAL,-12.25,29.09000015258789,16.84000015258789
AAN,-8.540000915527344,26.5,17.959999084472656
AAOI,-1.5,12.5,11.0
AAP,-8.44000244140625,159.41000366210938,150.97000122070312
AAT,-16.850000381469727,44.97999954223633,28.1299991607666
ABCB,-1.4800033569335938,42.7400016784668,41.2599983215332
ABCL,-5.700000762939453,58.900001525878906,53.20000076293945
ABEO,-1.2699999809265137,3.2100000381469727,1.940000057220459
ABEV,-1.8299999237060547,4.730000019073486,2.9000000953674316
ABIO,-1.1599998474121094,5.679999828338623,4.519999980926514
ABM,-0.11999893188476562,38.41999816894531,38.29999923706055
ABTX,-1.9300003051757812,37.470001220703125,35.540000915527344
AC,-4.403533935546875,39.29353332519531,34.88999938964844
ACB,-13.039999961853027,24.239999771118164,11.199999809265137
ACBI,-0.07499885559082031,18.2549991607666,18.18000030517578
ACC,-4.020000457763672,46.09000015258789,42.06999969482422
ACCO,-0.75,9.109999656677246,8.359999656677246
ACEL,-2.6599998474121094,12.5,9.84000015258789
ACER,-0.14999985694885254,3.7899999618530273,3.640000104904175
ACGL,-11.380001068115234,43.400001525878906,32.02000045776367
ACGLP,-0.049999237060546875,25.739999771118164,25.690000534057617
ACH,-1.010000228881836,8.960000038146973,7.949999809265137
ACIU,-2.5099997520446777,8.65999984741211,6.150000095367432
ACNB,-11.939998626708984,37.0099983215332,25.06999969482422
ACOR,-5.020000457763672,11.760000228881836,6.739999771118164
ACP,-0.6500005722045898,11.5600004196167,10.90999984741211
ACRE,-4.159999847412109,15.65999984741211,11.5
ACST,-1.7000001072883606,2.380000114440918,0.6800000071525574
ADC,-3.4000015258789062,67.66000366210938,64.26000213623047
ADCT,-2.469999313354492,30.0,27.530000686645508
ADES,-5.310000419616699,10.430000305175781,5.119999885559082
ADFI,-0.10099983215332031,9.980999946594238,9.880000114440918
ADIL,-0.28999996185302734,2.440000057220459,2.1500000953674316
ADMA,-1.4849998950958252,3.934999942779541,2.450000047683716
ADP,-3.970001220703125,170.32000732421875,166.35000610351562
ADS,-44.80000305175781,112.4800033569336,67.68000030517578
ADTX,-1.7999999523162842,5.059999942779541,3.259999990463257
ADV,-0.6999998092651367,10.399999618530273,9.699999809265137
ADXN,-0.1400003433227539,11.300000190734863,11.15999984741211
ADXS,-0.38700002431869507,1.090000033378601,0.703000009059906
AE,-14.919998168945312,38.939998626708984,24.020000457763672
AEE,-3.2100067138671875,76.05000305175781,72.83999633789062
AEFC,-0.10000038146972656,26.15999984741211,26.059999465942383
AEG,-0.4699997901916504,4.599999904632568,4.130000114440918
AEGN,-3.1300010681152344,22.110000610351562,18.979999542236328
AEL,-0.2700004577636719,29.899999618530273,29.6299991607666
AENZ,-0.12999987602233887,2.509999990463257,2.380000114440918
AEP,-12.279998779296875,93.45999908447266,81.18000030517578
AEPPL,-6.0800018310546875,53.720001220703125,47.63999938964844
AEPPZ,-1.7300033569335938,50.9900016784668,49.2599983215332
AER,-22.039997100830078,61.66999816894531,39.630001068115234
AERI,-6.909999847412109,23.799999237060547,16.889999389648438
AESE,-0.6500000953674316,2.690000057220459,2.0399999618530273
AEZS,-0.18000000715255737,0.8799999952316284,0.699999988079071
AFBI,-0.9699993133544922,11.6899995803833,10.720000267028809
AFC,-0.7399997711181641,26.709999084472656,25.969999313354492
AFG,-18.93000030517578,111.16000366210938,92.2300033569336
AFI,-0.14999961853027344,4.179999828338623,4.03000020980835
AFIB,-1.3099994659423828,26.5,25.190000534057617
AFIN,-5.310000419616699,12.760000228881836,7.449999809265137
AFL,-7.739997863769531,53.349998474121094,45.61000061035156
AFT,-0.5499992370605469,15.149999618530273,14.600000381469727
AFYA,-4.289999008178711,27.579999923706055,23.290000915527344
AGCB,-1.3000001907348633,13.25,11.949999809265137
AGE,-0.12999999523162842,1.9500000476837158,1.8200000524520874
AGEN,-0.08999991416931152,4.039999961853027,3.950000047683716
AGFS,-0.809999942779541,2.75,1.940000057220459
AGFY,-1.8199996948242188,12.739999771118164,10.920000076293945
AGLE,-0.46000003814697266,7.75,7.289999961853027
AGM,-5.670005798339844,83.37000274658203,77.69999694824219
AGMH,-0.8899993896484375,16.139999389648438,15.25
AGNC,-1.890000343322754,17.780000686645508,15.890000343322754
AGNCM,-1.4399986267089844,25.889999389648438,24.450000762939453
AGNCN,-1.0300006866455078,26.100000381469727,25.06999969482422
AGNCO,-1.3699989318847656,25.799999237060547,24.43000030517578
AGNCP,-1.0200004577636719,24.979999542236328,23.959999084472656
AGO,-13.070003509521484,49.08000183105469,36.0099983215332
AGR,-3.450000762939453,50.810001373291016,47.36000061035156
AGRO,-0.5999999046325684,8.130000114440918,7.53000020980835
AGRX,-0.16000008583068848,2.9700000286102295,2.809999942779541
AGS,-6.659999847412109,12.119999885559082,5.460000038146973
AGTC,-0.20000004768371582,4.150000095367432,3.950000047683716
AHC,-0.6599998474121094,2.8299999237060547,2.1700000762939453
AHH,-7.0099992752075195,17.959999084472656,10.949999809265137
AHT,-23.8799991607666,26.799999237060547,2.9200000762939453
AIF,-0.6999998092651367,15.25,14.550000190734863
AIG,-14.34000015258789,51.7599983215332,37.41999816894531
AIH,-1.1499996185302734,6.489999771118164,5.340000152587891
AIN,-5.239997863769531,76.8499984741211,71.61000061035156
AINC,-16.609999179840088,23.799999237060547,7.190000057220459
